"","Date","Block","Signature","Vial","Wolbachia","Food","wild_wild_female","yellow_vermillion_female","yellow_wild_female","wild_vermillion_female","wild_wild_male","yellow_vermillion_male","yellow_wild_male","wild_vermillion_male","Parental","Recombinant","RecombinantFraction"
"194","12/4/19",6,"SM",7,"Yes","Control",27,22,22,13,24,35,15,21,108,71,0.396648044692737
"195","12/3/19",6,"SM",1,"Yes","Yeast",36,23,17,16,23,38,16,17,120,66,0.354838709677419
"196","12/3/19",6,"SM",2,"Yes","Yeast",49,44,20,13,41,45,17,22,179,72,0.286852589641434
"197","12/3/19",6,"SM",3,"Yes","Yeast",36,33,19,16,35,32,20,21,136,76,0.358490566037736
"198","12/3/19",6,"SM",4,"Yes","Yeast",28,21,14,16,22,27,24,22,98,76,0.436781609195402
"199","12/3/19",6,"SM",5,"Yes","Yeast",50,33,30,27,34,39,23,36,156,116,0.426470588235294
"200","12/4/19",6,"SM",6,"Yes","Yeast",13,15,15,8,20,14,8,8,62,39,0.386138613861386
"201","12/4/19",6,"SM",7,"Yes","Yeast",22,32,22,15,23,28,14,6,105,57,0.351851851851852
"202","12/3/19",6,"SM",1,"Yes","Sucrose",19,17,26,13,18,19,7,14,73,60,0.451127819548872
"203","12/3/19",6,"SM",2,"Yes","Sucrose",16,17,13,16,33,23,16,13,89,58,0.394557823129252
"204","12/3/19",6,"SM",3,"Yes","Sucrose",23,18,13,8,23,16,12,10,80,43,0.349593495934959
"205","12/3/19",6,"SM",4,"Yes","Sucrose",11,10,13,15,15,17,14,14,53,56,0.513761467889908
"206","12/3/19",6,"SM",5,"Yes","Sucrose",26,18,18,18,23,18,9,10,85,55,0.392857142857143
"207","12/4/19",6,"SM",6,"Yes","Sucrose",21,14,14,14,7,13,9,10,55,47,0.46078431372549
"208","12/4/19",6,"SM",7,"Yes","Sucrose",22,24,10,13,12,13,15,12,71,50,0.413223140495868
"209","12/4/19",6,"SM",8,"Yes","Sucrose",27,28,19,17,23,31,16,10,109,62,0.362573099415205
"210","12/3/19",6,"SM",1,"No","Control",7,4,6,5,13,10,4,6,34,21,0.381818181818182
"211","12/3/19",6,"SM",2,"No","Control",28,30,8,8,17,21,14,10,96,40,0.294117647058824
"212","12/3/19",6,"SM",3,"No","Control",16,29,12,16,18,30,19,11,93,58,0.384105960264901
"213","12/3/19",6,"SM",4,"No","Control",30,38,10,12,26,19,10,18,113,50,0.306748466257669
"214","12/4/19",6,"SM",5,"No","Control",28,21,14,23,33,36,23,18,118,78,0.397959183673469
"215","12/4/19",6,"SM",6,"No","Control",10,10,5,11,6,6,5,3,32,24,0.428571428571429
"216","12/4/19",6,"SM",7,"No","Control",33,24,14,19,32,28,15,15,117,63,0.35
"217","12/3/19",6,"SM",1,"No","Yeast",35,36,16,14,48,31,11,19,150,60,0.285714285714286
"218","12/3/19",6,"SM",2,"No","Yeast",47,47,27,31,51,45,26,36,190,120,0.387096774193548
"219","12/3/19",6,"SM",3,"No","Yeast",28,23,20,12,32,24,15,18,107,65,0.377906976744186
"220","12/4/19",6,"SM",4,"No","Yeast",38,47,23,21,37,41,27,18,163,89,0.353174603174603
"221","12/4/19",6,"SM",5,"No","Yeast",23,33,17,12,27,23,15,21,106,65,0.380116959064327
"222","12/3/19",6,"SM",1,"No","Sucrose",32,27,9,11,22,25,18,13,106,51,0.32484076433121
"223","12/3/19",6,"SM",2,"No","Sucrose",24,18,13,14,21,22,18,17,85,62,0.421768707482993
"224","12/3/19",6,"SM",3,"No","Sucrose",27,29,11,17,25,28,8,12,109,48,0.305732484076433
"225","12/3/19",6,"SM",4,"No","Sucrose",32,30,19,20,24,32,22,18,118,79,0.401015228426396
"226","12/4/19",6,"SM",5,"No","Sucrose",19,11,8,9,15,10,7,8,55,32,0.367816091954023
"227","12/4/19",6,"SM",6,"No","Sucrose",7,13,8,5,8,6,10,4,34,27,0.442622950819672
